Chemical Name;;CAS Number;Alternative Name
1,1,1-Trichloroethane;;71-55-6;
1,2-Dibromoethane (Ethylene dibromide) ;;106-93-4;
1,2-Dichloroethane (ethylene dichloride) ;;107-06-2;
Cis- 1,3-dichloropropene ((1Z)-1,3-dichloroprop-1-ene);;10061-01-5;
1,3-dichloropropene ;;542-75-6;
2-aminobutane;;13952-84-6;
2-Naphthylamine (naphthalen-2-amine) ;;91-59-8;
;;553-00-4;
;;612-52-2;
2-Naphthyloxyacetic acid;;120-23-0;
2,4,5-T and its salts and esters;;93-76-5 and others;
4-Aminobiphenyl (biphenyl-4-amine) and its salts ;;92-67-1;
;;2113-61-3;
4-Nitrobiphenyl ;;92-93-3;
Acephate ;;30560-19-1;
Acifluorfen;;50594-66-6;
Alachlor ;;15972-60-8;
Aldicarb ;;116-06-3;
Ametryn;;834-12-8;
Amitraz ;;33089-61-1;
Anthraquinone ;;84-65-1;
Arsenic compounds;;;
Asbestos Fibres ;;1332-21-4 ;
Crocidolite ;;12001-28-4;
Amosite ;;12172-73-5;
Antophyllite ;;77536-67-5;
Actinolite;;77536-66-4;
Tremolite ;;77536-68-6;
Chrysotile ;;12001-29-5;
Chrysotile;;132207-32-0;
Atrazine ;;1912-24-9;
Azinphos-ethyl;;2642-71-9;
Azinphos-methyl ;;86-50-0;
Benfuracarb ;;82560-54-1;
Bensultap;;17606-31-4;
Benzene;;71-43-2;
Benzidine and its salts ;;92-87-5;
Benzidine derivatives;;36341-27-2;
Bifenthrin;;82657-04-3;
Binapacryl;;485-31-4;
Butralin;;33629-47-9;
Cadmium and its compounds;;7440-43-9 ;
Cadusafos;;95465-99-9;
Calciferol;;50-14-6;
Captafol;;2425-06-1;
Carbaryl ;;63-25-2;
Carbofuran;;1563-66-2;
Carbon tetrachloride;;56-23-5;
Carbosulfan ;;55285-14-8;
Cartap;;15263-53-3;
Chinomethionat;;196869;
Chlorate;;2146053;
10137-74-3;;233-378-2;
Chlordimeform ;;6164-98-3;
Chlorfenapyr ;;122453-73-0;
Chlorfenvinphos;;470-90-6;
Chlormephos;;24934-91-6;
Chlorobenzilate ;;510-15-6;
Chloroform;;67-66-3;
Chlorthal-dimethyl ;;1861-32-1;
Chlozolinate ;;84332-86-5;
Cholecalciferol;;67-97-0;
Coumafuryl;;117-52-2;
Creosote ;;8001-58-9;
;;61789-28-4;
;;84650-04-4;
;;90640-84-9;
;;65996-91-0;
;;90640-80-5;
;;65996-85-2;
;;8021-39-4;
;;122384-78-5;
Crimidine;;535-89-7;
Cyanamide ;;420-04-2;
Cyanazine;;21725-46-2;
Cyhalothrine;;68085-85-8;
DBB;;75113-37-0; (Di-μ-oxo-di-n-butylstannio-hydroxyborane/dioxastannaboretan-4-ol)
Diazinon ;;333-41-5;
Dichlobenil ;;1194-65-6;
Dicloran ;;99-30-9;
Dichlorvos ;;62-73-7;
Dicofol ;;115-32-2;
Dicofol containing  DDT and DDT related compounds ;;115-32-2;
Dimethenamid ;;87674-68-8;
Diniconazole-M ;;83657-18-5;
Dinitro-ortho-cresol (DNOC) and its salts (such as ammonium salt, potassium salt and sodium salt) ;;534-52-1;
;;2980-64-5;
;;5787-96-2;
;;2312-76-7;
Dinobuton;;973-21-7;
Dinoseb and its salts and esters ;;88-85-7 ;
Dinoterb ;;1420-07-1;
Diphenylamine;;122-39-4;
Benomyl at or above 7 %;;17804-35-2;
Carbofuran at or above 10 %;;1563-66-2;
and Thiram at or above 15 % ;;137-26-8;
Endosulfan ;;115-29-7;
Ethalfluralin ;;55283-68-6;
Ethion;;563-12-2;
Ethoxyquin ;;91-53-2;
Ethylene oxide (Oxirane) ;;75-21-8;
Fenarimol ;;60168-88-9;
Fenitrothion ;;122-14-5;
Fenpropathrin;;39515-41-8;
Fenthion ;;55-38-9;
Fentin acetate ;;900-95-8;
Fentin hydroxide ;;76-87-9;
Fenvalerate;;51630-58-1;
Ferbam;;14484-64-1;
Fluoroacetamide ;;640-19-7;
Flurenol;;467-69-6;
Flurprimidol ;;56425-91-3;
Furathiocarb;;65907-30-4;
Guazatine ;;108173-90-6;
Guazatine ;;115044-19-4;
Hexachloroethane;;67-72-1;
Hexazinone;;51235-04-2;
Iminoctadine;;13516-27-3;
Indolylacetic acid ;;87-51-4;
Isoxathion;;18854-01-8;
Malathion;;121-75-5;
;;123-33-1;
 ;;61167-10-0;
;;51542-52-0;
;;28330-26-9;
Mercury compounds, including inorganic mercury compounds, alkyl mercury compounds and alkyloxyalkyl and aryl mercury compounds except mercury compounds listed in Annex V (1);;62-38-4;
;;26545-49-3;
Metam;;144-54-7;
;;137-42-8;
Methamidophos ;;10265-92-6;
Methamidophos (Soluble liquid formulations of the substance that exceed 600 g active ingredient/l) ;;10265-92-6;
Methidathion;;950-37-8;
Methomyl;;16752-77-5;
Methyl bromide ;;74-83-9;
Methyl-parathion ;;298-00-0;
Metoxuron;;19937-59-8;
Monocrotophos ;;6923-22-4;
Monolinuron;;1746-81-2;
DBBT;;99688-47-8;
"Monomethyl-Dichloro-Diphenyl methane;";;;
Ugilec 21;;;
Ugilec 121;;;
Ugilec 141;;76253-60-6;
Monuron;;150-68-5;
Nicotine ;;54-11-5;
Nitrofen ;;1836-75-5;
Nonylphenols C6H4(OH)C9H19  ;;25154-52-3;
;;84852-15-3 ;
;;11066-49-2 ;
;;90481-04-2;
;;104-40-5;
Nonylphenol ethoxylates (C2H4O)nC15H24O ;;9016-45-9;
;;26027-38-3;
;;68412-54-4;
;;37205-87-1;
;;127087-87-0;
Octabromodiphenyl ether ;;32536-52-0;
Omethoate;;1113-02-6;
Oxydemeton-methyl ;;301-12-2;
Paraquat ;;4685-14-7;
1910-42-5;;217-615-7;
2074-50-2;;218-196-3;
Parathion ;;56-38-2;
Pebulate;;1114-71-2;
Pentachlorophenol and its salts and esters ;;87-86-5 ;
;;;
;;;
Perfluorooctane sulfonates;;1763-23-1;
PFOS;;2795-39-3;
Permethrin;;52645-53-1;
Phosalone;;2310-17-0;
;;13171-21-6;
;;23783-98-4 ;
;;297-99-4 ;
Polybrominated biphenyls (PBB) ;;13654-09-6;
Polybrominated biphenyls (PBB) ;;27858-07-7;
Polychlorinated terphenyls (PCT) ;;61788-33-8;
Procymidone ;;32809-16-8;
Propachlor ;;1918-16-7;
Propanil;;709-98-8;
Propham;;122-42-9;
Propisochlor ;;86763-47-5;
Pyrazophos ;;13457-18-6;
Quintozene ;;82-68-8;
Scilliroside;;507-60-8;
Simazine ;;122-34-9;
Strychnine;;57-24-9;
Tecnazene ;;117-18-0;
Terbufos;;13071-79-9;
Tetraethyl lead ;;78-00-2;
Tetramethyl lead ;;75-74-1;
Thallium sulphate;;7446-18-6;
Thiobencarb ;;28249-77-6;
Thiocyclam;;31895-22-4;
Thiodicarb ;;59669-26-0;
Tolylfluanid ;;731-27-1;
Triazophos;;24017-47-8;
Tributyltin compounds;;;
Tributyltin oxide;;56-35-9;
Tributyltin fluoride;;1983-10-4;
Tributyltin methacrylate;;2155-70-6;
Tributyltin benzoate;;4342-36-3;
Tributyltin chloride;;1461-22-9;
Tributyltin linoleate;;24124-25-2;
Tributyltin naphthenate ;;85409-17-2;
Trichlorfon ;;52-68-6;
Tricyclazole;;41814-78-2;
Tridemorph;;24602-86-6;
Trifluralin;;1582-09-8;
Triorganostannic compounds other than tributyltin compounds ;;;
