Chemical Name;CAS Number;Alternative Name
Tetrabromodiphenyl ether;40088-47-9 ;
Pentabromodiphenyl ether;32534-81-9 ;
Hexabromodiphenyl ether;36483-60-0 ;
Heptabromodiphenyl ether;68928-80-3 ;
Bis(pentabromophenyl) ether;1163-19-5;"decabromodiphenyl ether; decaBDE"
Perfluorooctane sulfonic acid ;1763-23-1;PFOS
;2795-39-3;PFOS
;29457-72-5;PFOS
;29081-56-9;PFOS
;70225-14-8;PFOS
;56773-42-3;PFOS
;251099-16-8;PFOS
;4151-50-2;PFOS
;31506-32-8;PFOS
;1691-99-2;PFOS
;24448-09-7;PFOS
;307-35-7 ;PFOS
1,1,1-trichloro-2,2-bis(4-chlorophenyl)ethane;50-29-3;DDT
Chlordane;57-74-9;
;58-89-9;Hexachlorocyclohexanes
;206-270-8;Hexachlorocyclohexanes
;206-271-3;Hexachlorocyclohexanes
;210-168-9;Hexachlorocyclohexanes
;319-84-6;Hexachlorocyclohexanes
;319-85-7;Hexachlorocyclohexanes
;608-73-1;Hexachlorocyclohexanes
Dieldrin;60-57-1;
Endrin;72-20-8;
Heptachlor;76-44-8;
;115-29-7;Endosulfan
;959-98-8;Endosulfan
;33213-65-9;Endosulfan
Hexachlorobenzene;118-74-1;
Chlordecone;143-50-0;
Aldrin;309-00-2;
Pentachlorobenzene;608-93-5;
Polychlorinated Biphenyls (PCB);1336-36-3;
Mirex;2385-85-5;
Toxaphene;8001-35-2;
Hexabromobiphenyl;36355-01-8;
Hexabromocyclododecane;25637-99-4;
1,2,5,6,9,10-hexabromocyclododecane;3194-55-6;
alpha-hexabromocyclododecane;134237-50-6;
beta-hexabromocyclododecane;134237-51-7;
gamma-hexabromocyclododecane;134237-52-8;
Hexachlorobutadiene;87-68-3;
Pentachlorophenol and its salts and esters;87-86-5 ;
Polychlorinated naphthalenes;70776-03-3 ;
short-chain chlorinated paraffins;85535-84-8;"Alkanes C10-C13, chloro; SCCPs"
