Alternative Name;Chemical Name;CAS Number
"HFC-23; fluoroform";trifluoromethane ;
HFC-32;difluoromethane;
"HFC-41; methyl fluoride";Fluoromethane ;
HFC-125;pentafluoroethane;
HFC-134;1,1,2,2-tetrafluoroethane;
HFC-134a;1,1,1,2-tetrafluoroethane;
HFC-143;1,1,2-trifluoroethane;
HFC-143a;1,1,1-trifluoroethane;
HFC-152;1,2-difluoroethane;
HFC-152a;1,1-difluoroethane;
HFC-161;Fluoroethane (ethyl fluoride);
HFC-227ea;1,1,1,2,3,3,3-heptafluoropropane;
HFC-236cb;1,1,1,2,2,3-hexafluoropropane;
HFC-236ea;1,1,1,2,3,3-hexafluoropropane;
HFC-236fa;1,1,1,3,3,3-hexafluoropropane;
HFC-245ca;1,1,2,2,3-pentafluoropropane;
HFC-245fa;1,1,1,3,3-pentafluoropropane;
HFC-365mfc;1,1,1,3,3-pentafluorobutane;
HFC-43-10mee;1,1,1,2,2,3,4,5,5,5 decafluoropentane;
"PFC-14; perfluoromethane; carbon tetrafluoride)";tetrafluoromethane;
"PFC-116; perfluoroethane";Hexafluoroethane ;
"PFC-218; perfluoropropane";octafluoropropane;
"PFC-3-1-10 (R-31-10); perfluorobutane";decafluorobutane;
"PFC-4-1-12 (R-41-12); perfluoropentane";dodecafluoropentane;
"PFC-5-1-14 (R-51-14); perfluorohexane";tetradecafluorohexane;
"PFC-c-318; perfluorocyclobutane";octafluorocyclobutane;
PFC-9-1-18 (R-91-18);Perfluorodecalin;
PFC-4-1-14 (R-41-14);perfluoro-2-methylpentane;
;sulphur hexafluoride;
2,3,3,3-tetrafluoro-2-(trifluoromethyl)-propanenitrile;Heptafluoroisobutyronitrile;
;HCFC-1224yd;
;Trans–1,2 -difluoroethylene (HFC-1132) and isomers;
HFC-1132a;1,1-difluoroethylene ;
;1,1,1,2,3,4,5,5,5(Or1,1,1,3,4,4,5,5,5)-nonafluoro-4(or2)-(trifluoromethyl)pent-2-ene;
;HFC-1234yf;
;HFC-1234ze;
;HFC-1336mzz(E);
;HFC-1336mzz(Z);
;HCFC-1233zd;
;HCFC-1233xf;
;sevoflurane;
HFE-347mmz1;enflurane;
HCFE-235ca2;isoflurane;
HCFE-235da2;desflurane;
HFE-236ea2;nitrogen trifluoride;
;sulfuryl fluoride;
