Chemical Name;CAS number;Category
1,1-Difluoroethane;75-37-6;Ozone Depleting
Dibromotetrafluoroethane;25497-30-7;Ozone Depleting
Bromochlorodifluoromethane;353-59-3;Ozone Depleting
1,2-Dibromo-1,1,2-trifluoroethane;354-04-1;Ozone Depleting
Bromotrifluoromethane;75-63-8;Ozone Depleting
Trichlorofluoromethane;75-69-4;Ozone Depleting
Dichlorodifluoromethane;75-71-8;Ozone Depleting
Chlorotrifluoromethane;75-72-9;Ozone Depleting
Fluorohexabromopropane;;Ozone Depleting
Difluorobromoethane;;Ozone Depleting
Fluorotribromoethane;;Ozone Depleting
Tetrafluorobromoethane;;Ozone Depleting
Difluorodibromopropane;;Ozone Depleting
Difluorotribromopropane;;Ozone Depleting
Fluorotetrabromopropane;;Ozone Depleting
Tetrafluorotribromopropane;;Ozone Depleting
Tetrachlorofluoroethane;130879-71-9;Ozone Depleting
Tetrachlorodifluoropropane;127564-82-3;Ozone Depleting
Trichlorotrifluoropropane;134237-40-4;Ozone Depleting
Hexachlorodifluoropropane;134452-44-1;Ozone Depleting
Dichlorotetrafluoropropane;127564-83-4;Ozone Depleting
Heptachlorofluoropropane;135401-87-5;Ozone Depleting
1,1,2-Trichloro-1-fluoroethane;811-95-0;Ozone Depleting
Trichloropentafluoropropane;28109-69-5;Ozone Depleting
1,2-Dichloro-1,2-difluoroethane;431-06-1;Ozone Depleting
Chlorotrifluoroethane;1330-45-6;Ozone Depleting
Ethane, 2-bromo-1,1,1-trifluoro-;421-06-7;Ozone Depleting
1,2,3-Trichloro-1,1,2,3,3-pentafluoropropane;76-17-5;Ozone Depleting
2-Fluorobromoethane;762-49-2;Ozone Depleting
1,1,2-Trichloro-1,2,2-trifluoroethane;76-13-1;Ozone Depleting
Trifluorotetrabromopropane;;Ozone Depleting
Trifluorodibromopropane;;Ozone Depleting
Dichlorofluoromethane;75-43-4;Ozone Depleting
Chlorodifluoromethane;75-45-6;Ozone Depleting
Chlorofluoromethane;593-70-4;Ozone Depleting
Fluoropentabromopropane;;Ozone Depleting
Trifluorotribromopropane;;Ozone Depleting
Pentafluorobromopropane;;Ozone Depleting
Trifluorobromopropane;;Ozone Depleting
Trichlorofluoropropane;134190-51-5;Ozone Depleting
Dichlorodifluoropropane;134190-52-6;Ozone Depleting
Chlorotrifluoropropane;134237-44-8;Ozone Depleting
1,2-Dichloro-2-fluoropropane;134237-45-9;Ozone Depleting
Pentachlorodifluoropropane;116867-32-4;Ozone Depleting
1,2,2,3-Tetrachloro-1,1,3-trifluoropropane;29470-95-9;Ozone Depleting
Trichlorotetrafluoropropane;127564-91-4;Ozone Depleting
Dichloropentafluoropropane;127564-92-5;Ozone Depleting
Pentachlorotrifluoropropane;134237-31-3;Ozone Depleting
Bromodifluoromethane;1511-62-2;Ozone Depleting
1,1,1,2,2-Pentachloro-2-fluoroethane;354-56-3;Ozone Depleting
1,2-Dibromo-1-fluoroethane;358-97-4;Ozone Depleting
Dichlorohexafluoropropane;42560-98-5;Ozone Depleting
1,1-Difluoro-1,2-dibromoethane;75-82-1;Ozone Depleting
1,1,2,2-Tetrachloro-1,2-difluoroethane;76-12-0;Ozone Depleting
Difluoropentabromopropane;;Ozone Depleting
Fluorotetrabromoethane;;Ozone Depleting
Fluorodibromomethane;;Ozone Depleting
Difluorobromopropane;;Ozone Depleting
Tetrafluorodibromopropane;;Ozone Depleting
Pentafluorodibromopropane;;Ozone Depleting
Tetrafluorobromopropane;;Ozone Depleting
Chlorodifluoropropane;134190-53-7;Ozone Depleting
Trichlorodifluoropropane;127564-90-3;Ozone Depleting
1-Chloro-1,1-difluoroethane;75-68-3;Ozone Depleting
Chlorodifluoroethane;25497-29-4;Ozone Depleting
Chloroheptafluoropropane;30143-46-5;Ozone Depleting
1,1,1,2-Tetrachloro-2,2-difluoroethane;76-11-9;Ozone Depleting
1,2-Dichloro-1,1,2,2-tetrafluoroethane;76-14-2;Ozone Depleting
1,2,2-Trichloro-1,1-difluoro-ethane;354-21-2;Ozone Depleting
Difluorotribromoethane;;Ozone Depleting
Fluorobromomethane;;Ozone Depleting
Fluorodibromopropane;;Ozone Depleting
1-Bromo-3-fluoropropane;;Ozone Depleting
Difluorotetrabromopropane;;Ozone Depleting
Fluorotribromopropane;;Ozone Depleting
Hexafluorobromopropane;;Ozone Depleting
Tetrachlorofluoropropane;134190-49-1;Ozone Depleting
Dichlorotrifluoropropane;116890-51-8;Ozone Depleting
Chlorofluoropropane;134190-54-8;Ozone Depleting
Chlorofluoroethane;110587-14-9;Ozone Depleting
Dichlorofluoroethane;25167-88-8;Ozone Depleting
Pentachlorofluoropropane;134190-48-0;Ozone Depleting
Hexachlorofluoropropane;134237-35-7;Ozone Depleting
1,2-Difluoroethane;624-72-6;Ozone Depleting
Fluoroethane;353-36-6;Ozone Depleting
Difluoromethane;75-10-5;Ozone Depleting
Fluoromethane;593-53-3;Ozone Depleting
Trifluoromethane;75-46-7;Ozone Depleting
