Chemical Name;CAS number;Category
2,4,5-T and its salts and esters;93-76-5 (*);Pesticide
Alachlor;15972-60-8;Pesticide
Aldicarb;116-06-3;Pesticide
Aldrin;309-00-2;Pesticide
Azinphos-methyl;86-50-0;Pesticide
Binapacryl;485-31-4;Pesticide
Captafol;2425-06-1;Pesticide
Carbofuran;1563-66-2;Pesticide
Chlordane;57-74-9;Pesticide
Chlordimeform;6164-98-3;Pesticide
Chlorobenzilate;510-15-6;Pesticide
DDT;50-29-3;Pesticide
Dieldrin;60-57-1;Pesticide
Dinitro-ortho-cresol (DNOC) and its salts (such as ammonium salt, potassium salt and sodium salt);534-52-1;Pesticide
Dinoseb and its salts and esters;88-85-7 (*);Pesticide
EDB (1,2-dibromoethane);106-93-4;Pesticide
Endosulfan;115-29-7;Pesticide
Ethylene dichloride;107-06-2;Pesticide
Ethylene oxide;75-21-8;Pesticide
Fluoroacetamide;640-19-7;Pesticide
HCH (mixed isomers);608-73-1;Pesticide
Heptachlor;76-44-8;Pesticide
Hexachlorobenzene;118-74-1;Pesticide
Lindane (gamma-HCH);58-89-9;Pesticide
Mercury compounds, including inorganic mercury compounds, alkyl mercury compounds and alkyloxyalkyl and aryl mercury compounds;99-99-9;Pesticide
Methamidophos;10265-92-6;Pesticide
Monocrotophos;6923-22-4;Pesticide
Parathion;56-38-2;Pesticide
Pentachlorophenol and its salts and esters;87-86-5 (*);Pesticide
Phorate;298-02-2;Pesticide
Terbufos;13071-79-9;Pesticide
Toxaphene (Camphechlor);8001-35-2;Pesticide
Tributyl tin compounds;1461-22-9;Pesticide
Tributyl tin compounds; 1983-10-4;Pesticide
Tributyl tin compounds; 2155-70-6;Pesticide
Tributyl tin compounds; 24124-25-2;Pesticide
Tributyl tin compounds; 4342-36-3;Pesticide
Tributyl tin compounds; 56-35-9;Pesticide
Tributyl tin compounds; 85409-17-2;Pesticide
Trichlorfon;52-68-6;Pesticide
;137-26-8;Pesticide Formulation
; 1563-66-2;Pesticide Formulation
; 17804-35-2;Pesticide Formulation
Methyl-parathion ;298-00-0;Pesticide Formulation
Phosphamidon;13171-21-6;Pesticide Formulation
Actinolite asbestos;77536-66-4;Industrial
Amosite asbestos;12172-73-5;Industrial
Anthophyllite asbestos;77536-67-5;Industrial
Hexabromodiphenyl ether;36483-60-0;Industrial
Heptabromodiphenyl ether; 68928-80-3;Industrial
Tetrabromodiphenyl ether;32534-81-9;Industrial
Pentabromodiphenyl ether; 40088-47-9;Industrial
Crocidolite asbestos;12001-28-4;Industrial
Decabromodiphenyl ether (decaBDE);1163-19-5;Industrial
;134237-50-6;Industrial
; 134237-51-7;Industrial
; 134237-52-8;Industrial
; 25637-99-4;Industrial
; 3194-55-6;Industrial
;1691-99-2;Industrial
; 1763-23-1;Industrial
; 24448-09-7;Industrial
; 251099-16-8;Industrial
; 2795-39-3;Industrial
; 29081-56-9;Industrial
; 29457-72-5;Industrial
; 307-35-7;Industrial
; 31506-32-8;Industrial
; 4151-50-2;Industrial
; 56773-42-3;Industrial
; 70225-14-8;Industrial
Perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds;335-67-1;Industrial
Polybrominated Biphenyls (PBBs);13654-09-6;Industrial
Polybrominated Biphenyls (PBBs); 27858-07-7;Industrial
Polybrominated Biphenyls (PBBs); 36355-01-8;Industrial
Polychlorinated Biphenyls (PCBs);1336-36-3;Industrial
Polychlorinated Terphenyls (PCTs);61788-33-8;Industrial
Short-chain chlorinated paraffins (SCCP);85535-84-8;Industrial
Tetraethyl lead;78-00-2;Industrial
Tetramethyl lead;75-74-1;Industrial
Tremolite asbestos;77536-68-6;Industrial
;1461-22-9;Industrial
; 1983-10-4;Industrial
; 2155-70-6;Industrial
; 24124-25-2;Industrial
; 4342-36-3;Industrial
; 56-35-9;Industrial
; 85409-17-2;Industrial
Tris(2,3-dibromopropyl) phosphate;126-72-7;Industrial
