Chemical Name;CAS Number;Alternative Name
Biphenyl, chlorinated;1336-36-3;
Endrin (ISO);72-20-8;
Endosulfan (ISO);115-29-7;
Alkanes, C10-13, chloro;85535-84-8;
Pentabromodiphenyl ether;32534-81-9;
2,2,2-Trichloro-1,1-bis(4-chlorophenyl)ethanol;115-32-2;
Pentachlorophenol;87-86-5;
(1α,2β,3α,4β,5α,6β)-1,2,3,4,5,6-Hexachlorocyclohexane;319-85-7;
1,2,3,4,5,6-Hexachlorocyclohexane;608-73-1;
Aldrin (ISO);309-00-2;
Mirex;2385-85-5;
Hexabromo-1,1'-biphenyl;36355-01-8;
Dibenzo[b,e][1,4]dioxin, octachloro-;3268-87-9;
1,2,3,7,8-PeCDD (-pentachlorodibenzo-p-dioxin);40321-76-4;
Dibenzo(B,E)(1,4)dioxin, 1,2,3,6,7,8-hexachloro-;57653-85-7;
Dibenzofuran, 2-chloro;43047-99-0;
(1α,2α,3β,4α,5β,6β)-1,2,3,4,5,6-Hexachlorocyclohexane;319-84-6;
Chlordane (ISO);57-74-9;
Dieldrin (ISO);60-57-1;
Benzene, hexachloro-;118-74-1;
Bis(pentabromophenyl) ether;1163-19-5;
1,2,5,6,9,10-Hexabromocyclodecane;3194-55-6;
Phenol, pentachloro-, sodium salt;131-52-2;
Potassium pentachlorophenolate;7778-73-6;
Chlordecone (ISO);143-50-0;
Dibenzo(b,e)(1,4)dioxin, hexachloro-;34465-46-8;
Dibenzo[b,e][1,4]dioxin, 1,2,3,4,6,7,8-heptachloro-;35822-46-9;
Pentachlorodibenzo-p-dioxin;36088-22-9;
Heptachlorodibenzo-p-dioxin;37871-00-4;
Dibenzofuran, hexachloro-;55684-94-1;
2,3,4,7,8-PeCDF (-pentachlorodibenzofuran);57117-31-4;
Dibenzofuran, 2,3,4,6,7,8-hexachloro-;60851-34-5;
Dibenzofuran, 1,2,3,4,6,7,8-heptachloro-;67562-39-4;
Lindane (ISO);58-89-9;
Toxaphene;8001-35-2;
DDT;50-29-3;
Heptachlor (ISO);76-44-8;
Benzene, pentachloro-;608-93-5;
Hexabromocyclododecane;25637-99-4;
1,3-Butadiene, 1,1,2,3,4,4-hexachloro-;87-68-3;
Dibenzofuran, 1,2,3,4,7,8,9-heptachloro-;55673-89-7;
Dibenzofuran, 1,2,3,4,6,8,9-heptachloro-;69698-58-4;
