Authorisation List
Note: Group entries are split in different rows.
Export date: 26-Mar-2025 20:13:15


"Substance Identifier"	""	
"Entry No."	""	
"Date of inclusion in Authorisation List (from)"	""	
"Date of inclusion in Authorisation List (to)"	""	
"Latest application date (from)"	""	
"Latest application date (to)"	""	
"Sunset Date (from)"	""	
"Sunset Date (to)"	""	
"Intrinsic property"	""	



"Substance name"	"Description"	"EC No."	"CAS No."	"Entry No."	"Latest application date"	"Latest application date (text)"	"Sunset Date"	"Sunset date (text)"	"Exempted (categories of) uses"	"Intrinsic property"	"Review Periods"	"Date of inclusion in Authorisation List"	"Regulation amending Annex XIV"	"Remarks"	"First published"	
"5-tert-butyl-2,4,6-trinitro-m-xylene (Musk xylene)"	""	"201-329-4"	"81-15-2"	"01"	"21-Feb-2013"	""	"21-Aug-2014"	""	""	"vPvB (Article 57e)"	""	"17-Feb-2011"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011R0143&qid=1644847488203"">Commission Regulation (EU) 143/2011</a>"	""	"11-Jan-2016"	
"4,4’- Diaminodiphenylmethane (MDA)"	""	"202-974-4"	"101-77-9"	"02"	"21-Feb-2013"	""	"21-Aug-2014"	""	""	"Carcinogenic (Article 57a)"	""	"17-Feb-2011"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011R0143&qid=1644847488203"">Commission Regulation (EU) 143/2011</a>"	""	"11-Jan-2016"	
"Hexabromocyclododecane (HBCDD)"	"and all major diastereoisomers identified"	"-"	"-"	"03"	"21-Feb-2014"	""	"21-Aug-2015"	""	""	"PBT (Article 57d)"	""	"17-Feb-2011"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011R0143&qid=1644847488203"">Commission Regulation (EU) 143/2011</a>"	""	"11-Jan-2016"	
"1,2,5,6,9,10-hexabromocyclododecane"	""	"221-695-9"	"3194-55-6"	"03"	"21-Feb-2014"	""	"21-Aug-2015"	""	""	"PBT (Article 57d)"	""	"17-Feb-2011"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011R0143&qid=1644847488203"">Commission Regulation (EU) 143/2011</a>"	""	"11-Jan-2016"	
"gamma-hexabromocyclododecane"	""	"-"	"134237-52-8"	"03"	"21-Feb-2014"	""	"21-Aug-2015"	""	""	"PBT (Article 57d)"	""	"17-Feb-2011"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011R0143&qid=1644847488203"">Commission Regulation (EU) 143/2011</a>"	""	"11-Jan-2016"	
"Hexabromocyclododecane"	""	"247-148-4"	"25637-99-4"	"03"	"21-Feb-2014"	""	"21-Aug-2015"	""	""	"PBT (Article 57d)"	""	"17-Feb-2011"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011R0143&qid=1644847488203"">Commission Regulation (EU) 143/2011</a>"	""	"11-Jan-2016"	
"alpha-hexabromocyclododecane"	""	"-"	"134237-50-6"	"03"	"21-Feb-2014"	""	"21-Aug-2015"	""	""	"PBT (Article 57d)"	""	"17-Feb-2011"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011R0143&qid=1644847488203"">Commission Regulation (EU) 143/2011</a>"	""	"11-Jan-2016"	
"beta-hexabromocyclododecane"	""	"-"	"134237-51-7"	"03"	"21-Feb-2014"	""	"21-Aug-2015"	""	""	"PBT (Article 57d)"	""	"17-Feb-2011"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011R0143&qid=1644847488203"">Commission Regulation (EU) 143/2011</a>"	""	"11-Jan-2016"	
"Bis(2-ethylhexyl) phthalate (DEHP)"	""	"204-211-0"	"117-81-7"	"04"	"21-Aug-2013"	"1 September 2021 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products, the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without that spare part and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance.

By way of derogation:
14/06/2023 for uses in:
- food contact materials within the scope of Regulation (EC) No 1935/2004,
- immediate packaging of medicinal products covered under Regulation (EC) No 726/2004, Directive 2001/82/EC, and/or Directive 2001/83/EC,
- mixtures containing DEHP at or above 0,1 % and below 0,3 % weight by weight;

01/01/2029 for uses in medical devices within the scope of Regulations (EU) 2017/745 and (EU) 2017/746
"	"21-Feb-2015"	"1 March 2023 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without those spare parts and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products, where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance.

By way of derogation:
14/12/2024 for uses in:
- food contact materials within the scope of Regulation (EC) No 1935/2004,
- immediate packaging of medicinal products covered under Regulation (EC) No 726/2004, Directive 2001/82/EC, and/or Directive 2001/83/EC,
- mixtures containing DEHP at or above 0,1 % and below 0,3 % weight by weight;

01/07/2030 for uses in medical devices within the scope of Regulations (EU) 2017/745 and (EU) 2017/746.
"	""	"Toxic for reproduction (Article 57c)""Endocrine disrupting properties (Article 57(f) - environment)""Endocrine disrupting properties (Article 57(f) - human health)"	""	"17-Feb-2011"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32021R2045"">Commission Regulation (EU) 2021/2045</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011R0143&qid=1644847488203"">Commission Regulation (EU) 143/2011</a>"	""	"11-Jan-2016"	
"Benzyl butyl phthalate (BBP)"	""	"201-622-7"	"85-68-7"	"05"	"21-Aug-2013"	"1 September 2021 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products, the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without that spare part and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance.

By way of derogation:
14/06/2023 for uses in:
- immediate packaging of medicinal products covered under Regulation (EC) No 726/2004, Directive 2001/82/EC, and/or Directive 2001/83/EC,
- mixtures containing BBP at or above 0,1 % and below 0,3 % weight by weight;"	"21-Feb-2015"	"1 March 2023 for the use of the substance in the production of spare parts as articles or as complex products for the repair of articles or complex products the production of which ceased or will have ceased before the sunset date indicated in the entry for that substance, where that substance was used in the production of those articles or complex products and these cannot function as intended without those spare parts and the spare part cannot be produced without that substance, and for the use of the substance (on its own or in a mixture) for the repair of such articles or complex products, where that substance on its own or in a mixture was used in the production of those articles or complex products and they cannot be repaired otherwise than by using that substance.

By way of derogation:
14/12/2024 for uses in:
- immediate packaging of medicinal products covered under Regulation (EC) No 726/2004, Directive 2001/82/EC, and/or Directive 2001/83/EC,
- mixtures containing BBP at or above 0,1 % and below 0,3 % weight by weight;"	""	"Toxic for reproduction (Article 57c)""Endocrine disrupting properties (Article 57(f) - human health)"	""	"17-Feb-2011"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32021R2045"">Commission Regulation (EU) 2021/2045</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011R0143&qid=1644847488203"">Commission Regulation (EU) 143/2011</a>"	""	"11-Jan-2016"	
