Restriction list
Note: Group entries are split in different rows.
Export date: 26-Mar-2025 20:14:16
Last updated 12-Nov-2024. Database contains 74 unique substances/entries.

"Substance Identifier"	""	
"Entry no."	""	



"Substance name"	"Description"	"EC No."	"CAS No."	"Entry no."	"Conditions"	"Appendices"	"Standards"	"History"	"Q&As"	"Remarks"	"First published"	
"Polychlorinated terphenyls (PCTs)"	""	"-"	"-"	"01"	"https://echa.europa.eu/documents/10162/3fd87368-345a-4b56-b545-53b2b8d4aa8c"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1976.262.01.0201.01.ENG&toc=OJ:L:1976:262:TOC"">D 76/769/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1982.350.01.0034.01.ENG&toc=OJ:L:1982:350:TOC"">D 82/828/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1985.269.01.0056.01.ENG&toc=OJ:L:1985:269:TOC"">D 85/467</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	""	""	"12-Jan-2016"	
"Terphenyl, chlorinated"	""	"262-968-2"	"61788-33-8"	"01"	"https://echa.europa.eu/documents/10162/3fd87368-345a-4b56-b545-53b2b8d4aa8c"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1976.262.01.0201.01.ENG&toc=OJ:L:1976:262:TOC"">D 76/769/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1982.350.01.0034.01.ENG&toc=OJ:L:1982:350:TOC"">D 82/828/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1985.269.01.0056.01.ENG&toc=OJ:L:1985:269:TOC"">D 85/467</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	""	""	"12-Jan-2016"	
"Chloroethene"	"Vinyl Chloride"	"200-831-0"	"75-01-4"	"02"	"https://echa.europa.eu/documents/10162/a7ed88f5-3b13-46ef-8fb7-dbb08087cfeb"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1976.262.01.0201.01.ENG&toc=OJ:L:1976:262:TOC"">D 76/769/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	""	""	"15-Jan-2016"	
"Liquid substances or mixtures which are regarded as dangerous in accordance with Directive 1999/45/EC or are fulfilling the criteria for any of the following hazard classes or categories set out in Annex I to Regulation (EC) No 1272/2008 (See group members):"	""	"-"	"-"	"03"	"https://echa.europa.eu/documents/10162/6e698812-f218-5f39-aff3-e46a1555a67d"	""	"<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT:18429&cs=1A5FE3B096F5CE8B96EF0786DA3EF0594"">EN 14059:2002</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1979.197.01.0037.01.ENG&toc=OJ:L:1979:197:TOC"">D 79/663/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1997.315.01.0013.01.ENG&toc=OJ:L:1997:315:TOC"">D 97/64/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2008.353.01.0001.01.ENG&toc=OJ:L:2008:353:TOC"">R 1272/2008</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.138.01.0008.01.ENG&toc=OJ:L:2009:138:TOC"">D 2009/424/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.086.01.0007.01.ENG&toc=OJ:L:2010:086:TOC"">R 276/2010</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32020R2096&qid=1611240953841"">R 2020/2096</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1068"">entry 1068</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1521"">entry 1521</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1799"">entry 1799</a>"	""	"15-Jan-2016"	
"Hazard class 4.1"	""	"-"	"-"	"03"	"https://echa.europa.eu/documents/10162/6e698812-f218-5f39-aff3-e46a1555a67d"	""	"<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT:18429&cs=1A5FE3B096F5CE8B96EF0786DA3EF0594"">EN 14059:2002</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1979.197.01.0037.01.ENG&toc=OJ:L:1979:197:TOC"">D 79/663/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1997.315.01.0013.01.ENG&toc=OJ:L:1997:315:TOC"">D 97/64/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2008.353.01.0001.01.ENG&toc=OJ:L:2008:353:TOC"">R 1272/2008</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.138.01.0008.01.ENG&toc=OJ:L:2009:138:TOC"">D 2009/424/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.086.01.0007.01.ENG&toc=OJ:L:2010:086:TOC"">R 276/2010</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32020R2096&qid=1611240953841"">R 2020/2096</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1068"">entry 1068</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1521"">entry 1521</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1799"">entry 1799</a>"	""	"15-Jan-2016"	
"Hazard classes 3.1 to 3.6, 3.7 adverse effects on sexual function and fertility or on development, 3.8 effects other than narcotic effects, 3.9 and 3.10"	""	"-"	"-"	"03"	"https://echa.europa.eu/documents/10162/6e698812-f218-5f39-aff3-e46a1555a67d"	""	"<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT:18429&cs=1A5FE3B096F5CE8B96EF0786DA3EF0594"">EN 14059:2002</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1979.197.01.0037.01.ENG&toc=OJ:L:1979:197:TOC"">D 79/663/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1997.315.01.0013.01.ENG&toc=OJ:L:1997:315:TOC"">D 97/64/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2008.353.01.0001.01.ENG&toc=OJ:L:2008:353:TOC"">R 1272/2008</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.138.01.0008.01.ENG&toc=OJ:L:2009:138:TOC"">D 2009/424/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.086.01.0007.01.ENG&toc=OJ:L:2010:086:TOC"">R 276/2010</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32020R2096&qid=1611240953841"">R 2020/2096</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1068"">entry 1068</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1521"">entry 1521</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1799"">entry 1799</a>"	""	"15-Jan-2016"	
"Hazard classes 2.1 to 2.4, 2.6 and 2.7, 2.8 types A and B, 2.9, 2.10, 2.12, 2.13 categories 1 and 2, 2.14 categories 1 and 2, 2.15 types A to F"	""	"-"	"-"	"03"	"https://echa.europa.eu/documents/10162/6e698812-f218-5f39-aff3-e46a1555a67d"	""	"<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT:18429&cs=1A5FE3B096F5CE8B96EF0786DA3EF0594"">EN 14059:2002</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1979.197.01.0037.01.ENG&toc=OJ:L:1979:197:TOC"">D 79/663/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1997.315.01.0013.01.ENG&toc=OJ:L:1997:315:TOC"">D 97/64/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2008.353.01.0001.01.ENG&toc=OJ:L:2008:353:TOC"">R 1272/2008</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.138.01.0008.01.ENG&toc=OJ:L:2009:138:TOC"">D 2009/424/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.086.01.0007.01.ENG&toc=OJ:L:2010:086:TOC"">R 276/2010</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32020R2096&qid=1611240953841"">R 2020/2096</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1068"">entry 1068</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1521"">entry 1521</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1799"">entry 1799</a>"	""	"15-Jan-2016"	
"Hazard class 5.1."	""	"-"	"-"	"03"	"https://echa.europa.eu/documents/10162/6e698812-f218-5f39-aff3-e46a1555a67d"	""	"<a href=""https://standards.cen.eu/dyn/www/f?p=204:110:0::::FSP_PROJECT:18429&cs=1A5FE3B096F5CE8B96EF0786DA3EF0594"">EN 14059:2002</a>"	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1979.197.01.0037.01.ENG&toc=OJ:L:1979:197:TOC"">D 79/663/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1997.315.01.0013.01.ENG&toc=OJ:L:1997:315:TOC"">D 97/64/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2008.353.01.0001.01.ENG&toc=OJ:L:2008:353:TOC"">R 1272/2008</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.138.01.0008.01.ENG&toc=OJ:L:2009:138:TOC"">D 2009/424/EC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2010.086.01.0007.01.ENG&toc=OJ:L:2010:086:TOC"">R 276/2010</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32020R2096&qid=1611240953841"">R 2020/2096</a>"	"<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1068"">entry 1068</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1521"">entry 1521</a>""<a href=""https://echa.europa.eu/support/qas-support/browse/-/qa/70Qx/view/ids/1799"">entry 1799</a>"	""	"15-Jan-2016"	
"Tris (2,3 dibromopropyl) phosphate"	""	"204-799-9"	"126-72-7"	"04"	"https://echa.europa.eu/documents/10162/c05269fe-1ecd-4186-9534-aaec4e15e0f1"	""	""	"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1979.197.01.0037.01.ENG&toc=OJ:L:1979:197:TOC"">D 79/663/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>"	""	""	"13-Jan-2016"	
"Benzene"	""	"200-753-7"	"71-43-2"	"05"	"https://echa.europa.eu/documents/10162/7c8cf4ac-baf9-a05a-2cc7-c9bca4a9d5b7"	""	""	"<a href=""https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:1982:339:0055:0056:EN:PDF"">D 82/806/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.1989.398.01.0019.01.ENG&toc=OJ:L:1989:398:TOC"">D 89/677/EEC</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2009.164.01.0007.01.ENG&toc=OJ:L:2009:164:TOC"">R 552/2009</a>""<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2015.233.01.0002.01.ENG&toc=OJ:L:2015:233:TOC"">R 1494/2015</a>"	""	""	"13-Jan-2016"	
