Active Substances
Export date: 26/03/2025 07:22:46
Last updated11/03/2025. Database contains 945 active substance-product type and Annex I records for which approval has been sought.

"substanceName"	"No value selected"
"numericalIdentifier"	"No value selected"
"productTypes"	
"No value selected"

"substitutionCandidate"	"No value selected"
"evaluatingAuthority"	"No value selected"
"r4bpAssetNumber"	"No value selected"
"basNumber"	"No value selected"
"reviewProgramme"	"No value selected"
"annexI"	"No value selected"
"newActiveSubstance"	"No value selected"
"legalAct"	"No value selected"
"approvalStatus"	"BAS_NOT_APPROVED"
"assessmentStatus"	"No value selected"
"assessmentSubStatus"	"No value selected"
"startDateFrom"	"No value selected"
"startDateTo"	"No value selected"
"endDateFrom"	"No value selected"
"endDateTo"	"No value selected"
"tradeName"	"No value selected"
"authorisationNumber"	"No value selected"


"Substance name"	"EC/List no."	"CAS no."	"BAS number"	"Product-type"	"Review Programme flag"	"New active substance flag"	"Annex I substance flag"	"Inclusion Category"	"Approval start date"	"Approval end date"	"Evaluating competent authority"	"Approval status"	"Assessment status"	"Assessment sub-status"	"Legal act"	"Link to legal act"	"R4BP asset number"	"Candidate for substitution"	"Factsheet URL"	"Related authorised biocidal products"	"RML ID"	"Substance information page"	
"(RS)-3-Allyl-2-methyl-4-oxocyclopent-2- enyl (1R,3R)-2,2-dimethyl-3-(2-methyl- prop-1-enyl)-cyclopropanecarboxylate (mixture of 2 isomers 1R trans: 1R/S only 1:3) (Esbiothrin)"	"807-421-6"	"260359-57-7"	"1301"	"PT18-Insecticides, acaricides and products to control other arthropods"	"true"	"false"	"false"	"0"	""	""	"Germany"	"Not approved"	""	""	"Decision (EU) 2021/98"	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021D0098"	"-"	"Yes"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1301/PT18"	"0"	"100.235.064"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.235.064"	
"(RS)-3-Allyl-2-methyl-4-oxocyclopent-2- enyl-(1R,3R;1R,3S)-2,2-dimethyl-3-(2- methylprop-1-enyl)-cyclopropanecarboxy- late (mixture of 4 isomers 1R trans, 1R:1R trans, 1S: 1R cis, 1R: 1R cis,1S 4:4:1:1) (d-Allethrin)"	"687-634-7"	"231937-89-6"	"1237"	"PT18-Insecticides, acaricides and products to control other arthropods"	"true"	"false"	"false"	"0"	""	""	"Germany"	"Not approved"	""	""	"COMMISSION IMPLEMENTING DECISION (EU) 2023/470"	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023D0470"	"-"	"Yes"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1237/PT18"	"0"	"100.213.665"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.213.665"	
"1-ethynyl-2-methylpent-2-enyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate (Empenthrin)"	"259-154-4"	"54406-48-3"	"1300"	"PT18-Insecticides, acaricides and products to control other arthropods"	"true"	"false"	"false"	"0"	""	""	"Belgium"	"Not approved"	""	""	"Decision (EU) 2018/1251"	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32018D1251"	"-"	"No"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1300/PT18"	"0"	"100.053.759"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.053.759"	
"2,2-dibromo-2-cyanoacetamide (DBNPA)"	"233-539-7"	"10222-01-2"	"1224"	"PT04-Food and feed area"	"true"	"false"	"false"	"0"	""	""	"Denmark"	"Not approved"	""	""	"COMMISSION IMPLEMENTING DECISION (EU) 2023/459"	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023D0459"	"-"	"Yes"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1224/PT04"	"0"	"100.030.477"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.030.477"	
"2-Butanone, peroxide"	"215-661-2"	"1338-23-4"	"1227"	"PT01-Human hygiene"	"true"	"false"	"false"	"0"	""	""	"Hungary"	"Not approved"	""	""	"Decision (EU) 2016/108"	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32016D0108"	"-"	"Under assessment"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1227/PT01"	"0"	"100.014.238"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.014.238"	
"2-Butanone, peroxide"	"215-661-2"	"1338-23-4"	"1227"	"PT02-Disinfectants and algaecides not intended for direct application to humans or animals"	"true"	"false"	"false"	"0"	""	""	"Hungary"	"Not approved"	""	""	"Decision (EU) 2016/108"	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32016D0108"	"-"	"Under assessment"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1227/PT02"	"0"	"100.014.238"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.014.238"	
"2-Butanone, peroxide"	"215-661-2"	"1338-23-4"	"1227"	"PT03-Veterinary hygiene"	"true"	"false"	"false"	"0"	""	""	"Hungary"	"Not approved"	""	""	"Decision 2014/227/EU"	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32014D0227"	"-"	"Under assessment"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1227/PT03"	"0"	"100.014.238"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.014.238"	
"2-Butanone, peroxide"	"215-661-2"	"1338-23-4"	"1227"	"PT06-Preservatives for products during storage"	"true"	"false"	"false"	"0"	""	""	"Hungary"	"Not approved"	""	""	"Decision 2014/227/EU"	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32014D0227"	"-"	"Under assessment"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1227/PT06"	"0"	"100.014.238"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.014.238"	
"2-chloro-N-[[[4-(trif luoromethoxy) phenyl]amino]carbonyl]benzamide (Triflumuron)"	"264-980-3"	"64628-44-0"	"1407"	"PT18-Insecticides, acaricides and products to control other arthropods"	"true"	"false"	"false"	"0"	""	""	"Italy"	"Not approved"	""	""	"(EU) 2015/1736"	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32015D1736"	"-"	"No"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1407/PT18"	"0"	"100.059.055"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.059.055"	
"2-Phenoxyethanol"	"204-589-7"	"122-99-6"	"1231"	"PT03-Veterinary hygiene"	"true"	"false"	"false"	"0"	""	""	"United Kingdom"	"Not approved"	""	""	"Decision 2014/227/EU"	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32014D0227"	"-"	"Under assessment"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1231/PT03"	"0"	"100.004.173"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.004.173"	
