Annex of co-formulants not accepted for inclusion in PPPs
Note: Group entries are split in different rows.
Export date: 26/03/2025 20:20:26
Header

"Substance Identifier"	""	



""	""	""	""	""	
"Name"	"EC No."	"CAS No."	"Ref No."	"Notes"	
"1,2-Dichloroethane"	"203-458-1"	"107-06-2"	"2"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"1-Chloro-2,3-epoxypropane"	"203-439-8"	"106-89-8"	"1"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"1-Ethylpyrrolidin-2-one"	"220-250-6"	"2687-91-4"	"5"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"1-Methylpyrrolidin-2-one"	"212-828-1"	"872-50-4"	"9"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"17-(4-Nonylphenoxy)-3,6,9,12,15-pentaoxaheptadecan-1-ol"	"-"	"34166-38-6"	"75"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"2-[2-[2-(4-Octylphenoxy)ethoxy]ethoxy]ethanol"	"-"	"51437-91-3"	"130"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"2-Ethoxyethanol"	"203-804-1"	"110-80-5"	"3"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"2-Ethoxyethyl acetate"	"203-839-2"	"111-15-9"	"4"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"2-Methoxyethanol"	"203-713-7"	"109-86-4"	"6"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
