Active Substances
Export date: 26/03/2025 07:25:58
Last updated11/03/2025. Database contains 945 active substance-product type and Annex I records for which approval has been sought.

"substanceName"	"No value selected"
"numericalIdentifier"	"No value selected"
"productTypes"	
"No value selected"

"substitutionCandidate"	"No value selected"
"evaluatingAuthority"	"No value selected"
"r4bpAssetNumber"	"No value selected"
"basNumber"	"No value selected"
"reviewProgramme"	"No value selected"
"annexI"	"No value selected"
"newActiveSubstance"	"No value selected"
"legalAct"	"No value selected"
"approvalStatus"	"BAS_NO_LONGER_SUPPORTED"
"assessmentStatus"	"No value selected"
"assessmentSubStatus"	"No value selected"
"startDateFrom"	"No value selected"
"startDateTo"	"No value selected"
"endDateFrom"	"No value selected"
"endDateTo"	"No value selected"
"tradeName"	"No value selected"
"authorisationNumber"	"No value selected"


"Substance name"	"EC/List no."	"CAS no."	"BAS number"	"Product-type"	"Review Programme flag"	"New active substance flag"	"Annex I substance flag"	"Inclusion Category"	"Approval start date"	"Approval end date"	"Evaluating competent authority"	"Approval status"	"Assessment status"	"Assessment sub-status"	"Legal act"	"Link to legal act"	"R4BP asset number"	"Candidate for substitution"	"Factsheet URL"	"Related authorised biocidal products"	"RML ID"	"Substance information page"	
"(9Z,12E)-Tetradeca-9, 12-dien-1-yl acetate"	"608-490-3"	"30507-70-1"	"58"	"PT19-Repellents and attractants"	"true"	"false"	"false"	"0"	""	""	"Austria"	"No longer supported"	""	""	"Directive 2011/11/EU"	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32011L0011"	"EU-0005408-0000"	"No"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/58/PT19"	"12"	"100.112.543"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.112.543"	
"(benzyloxy)methanol"	"238-588-8"	"14548-60-8"	"1216"	"PT13-Working or cutting fluid preservatives"	"true"	"false"	"false"	"0"	""	""	"United Kingdom"	"No longer supported"	""	""	"COMMISSION IMPLEMENTING DECISION (EU) 2023/458"	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023D0458"	"-"	"Under assessment"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1216/PT13"	"0"	"100.035.065"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.035.065"	
"(ethylenedioxy)dimethanol (Reaction products of ethylene glycol with paraformaldehyde (EGForm))"	"222-720-6"	"3586-55-8"	"1374"	"PT02-Disinfectants and algaecides not intended for direct application to humans or animals"	"true"	"false"	"false"	"0"	""	""	"Poland"	"No longer supported"	""	""	"Decision (EU) 2020/1036 "	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32020D1036"	"-"	"Under assessment"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1374/PT02"	"0"	"100.020.655"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.020.655"	
"1,2-benzisothiazol-3(2H)-one (BIT)"	"220-120-9"	"2634-33-5"	"1218"	"PT10-Construction material preservatives"	"false"	"true"	"false"	"0"	""	""	"Spain"	"No longer supported"	""	""	"COMMISSION IMPLEMENTING DECISION (EU) 2022/2325"	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D2325"	"-"	"Under assessment"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1218/PT10"	"0"	"100.018.292"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.018.292"	
"1-[2-(allyloxy)-2-(2,4-dichlorophenyl)ethyl]-1H-imidazole (Imazalil)"	"252-615-0"	"35554-44-0"	"1317"	"PT03-Veterinary hygiene"	"true"	"false"	"false"	"0"	""	""	"Germany"	"No longer supported"	""	""	"Decision (EU) 2020/1036 "	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32020D1036"	"-"	"Under assessment"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1317/PT03"	"0"	"100.047.817"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.047.817"	
"2,2-dibromo-2-cyanoacetamide (DBNPA)"	"233-539-7"	"10222-01-2"	"1224"	"PT02-Disinfectants and algaecides not intended for direct application to humans or animals"	"true"	"false"	"false"	"0"	""	""	"Denmark"	"No longer supported"	""	""	"Commission Implementing Decision (EU) 2024/888 "	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32024D0888"	"-"	"Under assessment"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1224/PT02"	"0"	"100.030.477"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.030.477"	
"2,2-dibromo-2-cyanoacetamide (DBNPA)"	"233-539-7"	"10222-01-2"	"1224"	"PT13-Working or cutting fluid preservatives"	"true"	"false"	"false"	"0"	""	""	"Denmark"	"No longer supported"	""	""	"Decision (EU) 2021/1283     "	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021D1283"	"-"	"Under assessment"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1224/PT13"	"0"	"100.030.477"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.030.477"	
"2,3,5,6-tetrafluoro-4-(methoxymethyl) benzyl (EZ)-(1RS,3RS;1SR,3SR)- 2,2-dimethyl-3-prop-1-eny lcyclopropanecarboxylate"	"-"	"-"	"45"	"PT19-Repellents and attractants"	"false"	"true"	"false"	"0"	""	""	"United Kingdom"	"No longer supported"	""	""	"COMMISSION IMPLEMENTING DECISION (EU) 2022/2326"	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D2326"	"-"	"No"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/45/PT19"	"0"	"100.373.674"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.373.674"	
"2-hydroxy-α,α,4-trimethylcyclohexanemethanol"	"255-953-7"	"42822-86-6"	"2085"	"PT19-Repellents and attractants"	"true"	"false"	"false"	"0"	""	""	"-"	"No longer supported"	""	""	"Decision (EU) 2021/1283     "	"http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021D1283"	"-"	"Under assessment"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/2085/PT19"	"0"	"100.050.849"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.050.849"	
"3-phenoxybenzyl (1R)-cis,trans-2,2- dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate (d-Phenothrin)"	"-"	"188023-86-1"	"1298"	"PT18-Insecticides, acaricides and products to control other arthropods"	"true"	"false"	"false"	"0"	""	""	"Ireland"	"No longer supported"	""	""	""	""	"-"	"Under assessment"	"https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1298/PT18"	"0"	"100.208.266"	"https://echa.europa.eu/substance-information/-/substanceinfo/100.208.266"	
